use_cases,features,budget,rank1_product,rank1_score,rank2_product,rank2_score,rank3_product,rank3_score
lifestyle_fitness,light_comfortable,no_budget,apple_watch_series11_2025,0.95,garmin_forerunner_970_2025,0.93,garmin_fenix_8_2024,0.93
lifestyle_fitness,light_comfortable,under_200,apple_watch_series11_2025,0.665,garmin_forerunner_970_2025,0.651,garmin_fenix_8_2024,0.651
lifestyle_fitness,light_comfortable,under_350,whoop_5_0_peak_2025,0.86,apple_watch_series11_2025,0.665,garmin_forerunner_970_2025,0.651
lifestyle_fitness,light_comfortable,under_500,apple_watch_series11_2025,0.95,whoop_5_0_peak_2025,0.86,garmin_forerunner_970_2025,0.651
lifestyle_fitness,light_comfortable,under_650,apple_watch_series11_2025,0.95,garmin_forerunner_970_2025,0.93,whoop_5_0_peak_2025,0.86
lifestyle_fitness,light_comfortable,unlimited,apple_watch_series11_2025,0.95,garmin_forerunner_970_2025,0.93,garmin_fenix_8_2024,0.93
lifestyle_fitness,long_battery,no_budget,garmin_forerunner_970_2025,0.93,garmin_fenix_8_2024,0.93,apple_watch_series11_2025,0.85
lifestyle_fitness,long_battery,under_200,garmin_forerunner_970_2025,0.651,garmin_fenix_8_2024,0.651,apple_watch_series11_2025,0.595
lifestyle_fitness,long_battery,under_350,whoop_5_0_peak_2025,0.81,garmin_forerunner_970_2025,0.651,garmin_fenix_8_2024,0.651
lifestyle_fitness,long_battery,under_500,apple_watch_series11_2025,0.85,whoop_5_0_peak_2025,0.81,garmin_forerunner_970_2025,0.651
lifestyle_fitness,long_battery,under_650,garmin_forerunner_970_2025,0.93,apple_watch_series11_2025,0.85,whoop_5_0_peak_2025,0.81
lifestyle_fitness,long_battery,unlimited,garmin_forerunner_970_2025,0.93,garmin_fenix_8_2024,0.93,apple_watch_series11_2025,0.85
lifestyle_fitness,water_resistance,no_budget,apple_watch_series11_2025,0.95,garmin_fenix_8_2024,0.93,garmin_forerunner_970_2025,0.88
lifestyle_fitness,water_resistance,under_200,apple_watch_series11_2025,0.665,garmin_fenix_8_2024,0.651,garmin_forerunner_970_2025,0.616
lifestyle_fitness,water_resistance,under_350,whoop_5_0_peak_2025,0.81,apple_watch_series11_2025,0.665,garmin_fenix_8_2024,0.651
lifestyle_fitness,water_resistance,under_500,apple_watch_series11_2025,0.95,whoop_5_0_peak_2025,0.81,garmin_fenix_8_2024,0.651
lifestyle_fitness,water_resistance,under_650,apple_watch_series11_2025,0.95,garmin_forerunner_970_2025,0.88,whoop_5_0_peak_2025,0.81
lifestyle_fitness,water_resistance,unlimited,apple_watch_series11_2025,0.95,garmin_fenix_8_2024,0.93,garmin_forerunner_970_2025,0.88
lifestyle_fitness,gps_accuracy,no_budget,apple_watch_series11_2025,0.95,garmin_forerunner_970_2025,0.93,garmin_fenix_8_2024,0.93
lifestyle_fitness,gps_accuracy,under_200,apple_watch_series11_2025,0.665,garmin_forerunner_970_2025,0.651,garmin_fenix_8_2024,0.651
lifestyle_fitness,gps_accuracy,under_350,apple_watch_series11_2025,0.665,garmin_forerunner_970_2025,0.651,garmin_fenix_8_2024,0.651
lifestyle_fitness,gps_accuracy,under_500,apple_watch_series11_2025,0.95,garmin_forerunner_970_2025,0.651,garmin_fenix_8_2024,0.651
lifestyle_fitness,gps_accuracy,under_650,apple_watch_series11_2025,0.95,garmin_forerunner_970_2025,0.93,garmin_fenix_8_2024,0.651
lifestyle_fitness,gps_accuracy,unlimited,apple_watch_series11_2025,0.95,garmin_forerunner_970_2025,0.93,garmin_fenix_8_2024,0.93
lifestyle_fitness,smartphone_independent,no_budget,apple_watch_series11_2025,1.0,garmin_forerunner_970_2025,0.88,garmin_fenix_8_2024,0.88
lifestyle_fitness,smartphone_independent,under_200,apple_watch_series11_2025,0.7,garmin_forerunner_970_2025,0.616,garmin_fenix_8_2024,0.616
lifestyle_fitness,smartphone_independent,under_350,apple_watch_series11_2025,0.7,whoop_5_0_peak_2025,0.66,garmin_forerunner_970_2025,0.616
lifestyle_fitness,smartphone_independent,under_500,apple_watch_series11_2025,1.0,whoop_5_0_peak_2025,0.66,garmin_forerunner_970_2025,0.616
lifestyle_fitness,smartphone_independent,under_650,apple_watch_series11_2025,1.0,garmin_forerunner_970_2025,0.88,whoop_5_0_peak_2025,0.66
lifestyle_fitness,smartphone_independent,unlimited,apple_watch_series11_2025,1.0,garmin_forerunner_970_2025,0.88,garmin_fenix_8_2024,0.88
lifestyle_fitness,app_ecosystem,no_budget,apple_watch_series11_2025,1.0,garmin_forerunner_970_2025,0.88,garmin_fenix_8_2024,0.88
lifestyle_fitness,app_ecosystem,under_200,apple_watch_series11_2025,0.7,garmin_forerunner_970_2025,0.616,garmin_fenix_8_2024,0.616
lifestyle_fitness,app_ecosystem,under_350,whoop_5_0_peak_2025,0.76,apple_watch_series11_2025,0.7,garmin_forerunner_970_2025,0.616
lifestyle_fitness,app_ecosystem,under_500,apple_watch_series11_2025,1.0,whoop_5_0_peak_2025,0.76,garmin_forerunner_970_2025,0.616
lifestyle_fitness,app_ecosystem,under_650,apple_watch_series11_2025,1.0,garmin_forerunner_970_2025,0.88,whoop_5_0_peak_2025,0.76
lifestyle_fitness,app_ecosystem,unlimited,apple_watch_series11_2025,1.0,garmin_forerunner_970_2025,0.88,garmin_fenix_8_2024,0.88
lifestyle_fitness,design_modern,no_budget,apple_watch_series11_2025,1.0,garmin_forerunner_970_2025,0.88,garmin_fenix_8_2024,0.88
lifestyle_fitness,design_modern,under_200,apple_watch_series11_2025,0.7,garmin_forerunner_970_2025,0.616,garmin_fenix_8_2024,0.616
lifestyle_fitness,design_modern,under_350,whoop_5_0_peak_2025,0.76,apple_watch_series11_2025,0.7,garmin_forerunner_970_2025,0.616
lifestyle_fitness,design_modern,under_500,apple_watch_series11_2025,1.0,whoop_5_0_peak_2025,0.76,garmin_forerunner_970_2025,0.616
lifestyle_fitness,design_modern,under_650,apple_watch_series11_2025,1.0,garmin_forerunner_970_2025,0.88,whoop_5_0_peak_2025,0.76
lifestyle_fitness,design_modern,unlimited,apple_watch_series11_2025,1.0,garmin_forerunner_970_2025,0.88,garmin_fenix_8_2024,0.88
lifestyle_fitness,design_classic,no_budget,apple_watch_series11_2025,0.75,garmin_forerunner_970_2025,0.68,garmin_fenix_8_2024,0.68
lifestyle_fitness,design_classic,under_200,apple_watch_series11_2025,0.525,garmin_forerunner_970_2025,0.476,garmin_fenix_8_2024,0.476
lifestyle_fitness,design_classic,under_350,whoop_5_0_peak_2025,0.61,apple_watch_series11_2025,0.525,garmin_forerunner_970_2025,0.476
lifestyle_fitness,design_classic,under_500,apple_watch_series11_2025,0.75,whoop_5_0_peak_2025,0.61,garmin_forerunner_970_2025,0.476
